Time [s],Value,Parity Error,Framing Error
1.56266025,0x03,,
1.56267025,0x05,,
1.56268025,0x03,,
1.56269025,0x1E,,
1.56270025,0x28,,
1.56271025,0x02,,
1.56272025,0xAC,,
1.5645861875,0xFF,,
1.5645961875,0xFF,,
1.5646061875,0x04,,
1.5646161875,0x05,,
1.5646261875,0x03,,
1.5646361875,0x1E,,
1.5646461875,0x1B,,
1.5646561875,0x02,,
1.56466625,0xB8,,
